epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,32115.8,0.75169,0.70058,1.31723,0.91069,0.90399,0.95895,0.78442,0.89443,0.65894,1.26287,0.002278,0.002278,0.002278
80,32553,0.76569,0.72865,1.328,0.91184,0.91092,0.95059,0.77574,0.91774,0.68551,1.29614,0.002179,0.002179,0.002179
81,33114.5,0.74213,0.70263,1.31193,0.91828,0.89032,0.95715,0.77793,0.90002,0.63558,1.2713,0.00208,0.00208,0.00208
82,33720.8,0.73216,0.70144,1.30983,0.91103,0.85149,0.94369,0.7413,1.04993,0.74287,1.41171,0.001981,0.001981,0.001981
83,34333.8,0.73678,0.69862,1.31196,0.89789,0.91776,0.9637,0.78332,0.9089,0.64294,1.27703,0.001882,0.001882,0.001882
84,34717.5,0.74433,0.69844,1.31534,0.92903,0.89263,0.95973,0.79986,0.85577,0.63635,1.22496,0.001783,0.001783,0.001783
85,35081.3,0.73131,0.68634,1.30385,0.94476,0.87358,0.95785,0.77507,0.91958,0.66412,1.2905,0.001684,0.001684,0.001684
86,35421,0.7274,0.68423,1.29572,0.955,0.88983,0.96324,0.77488,0.90619,0.68516,1.26533,0.001585,0.001585,0.001585
87,35841.8,0.74198,0.68699,1.30767,0.88567,0.89725,0.94523,0.75649,0.97728,0.73323,1.32679,0.001486,0.001486,0.001486
88,36423.4,0.73625,0.67855,1.30606,0.88206,0.8945,0.95183,0.78587,0.89328,0.66446,1.25648,0.001387,0.001387,0.001387
